sku_id,category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
549,"Cooking Essentials","Ching's Secret Veg Manchurian Masala",44.00,0.00,6,44.00,60,0,60
550,"Cooking Essentials","Popular Essentials Jowa Flour",50.00,2.00,5,49.00,500,0,500
551,"Cooking Essentials","Everest Shahi Biryani Masala",245.00,0.00,6,245.00,200,0,200
552,"Cooking Essentials","Popular Essentials Black Til",50.00,6.00,4,47.00,100,0,100
553,"Cooking Essentials","Popular Essentials Pancharatna Dal",80.00,10.00,6,72.00,500,0,500
554,"Cooking Essentials","Saffola 100% Pure Honey",475.00,8.00,2,437.00,1000,0,750
555,"Cooking Essentials","Popular Essentials Tamarind",150.00,14.00,6,128.00,500,0,500
556,"Cooking Essentials","Gits Rice Dosa Instant Breakfast Mix",60.00,5.00,5,57.00,200,0,200
557,"Cooking Essentials","Popular Essentials Poppy Seeds (Gasagase)",280.00,7.00,6,260.00,100,0,100
558,"Cooking Essentials","Hershey's Hot Chocolate Powder",210.00,0.00,4,210.00,250,0,250
559,"Cooking Essentials","Borges Farfalle Durum Wheat Pasta ",250.00,0.00,5,250.00,500,0,500
560,"Cooking Essentials","Satyam Chilli  Bedgi",82.00,10.00,5,73.00,100,0,100
561,"Cooking Essentials","Aashirvaad Instant Mix - Rice Dosa",75.00,30.00,6,52.00,200,0,200
562,"Cooking Essentials","Hershey's Cocoa - Natural Unsweetened",270.00,10.00,4,243.00,225,0,225
563,"Cooking Essentials","Weikfield Veg Jelly Crystals - Mango",45.00,2.00,6,44.00,90,0,90
564,"Cooking Essentials","Praakritik Orrganic Cold Pressed Sesame Oil",130.00,10.00,5,117.00,100,0,100
565,"Cooking Essentials","Amulya Dairy Whitener ",380.00,2.00,4,372.00,1000,0,1
566,"Cooking Essentials","ITC Master Chef Hyderabadi Biryani",75.00,30.00,5,52.00,80,0,80
567,"Cooking Essentials","Flying Bird Butter Scotch Essence",50.00,2.00,6,49.00,20,0,20
568,"Cooking Essentials","Dabur Hommade - Ginger Paste",50.00,6.00,6,47.00,200,0,200
569,"Cooking Essentials","Popular Essentials Green Peas (Un-Polished)",120.00,10.00,5,108.00,500,0,500
570,"Cooking Essentials","Quaker Oats Pouch",276.00,10.00,6,248.00,1500,0,1
571,"Cooking Essentials","24 Mantra Organic Urad White Whole",145.00,15.00,4,122.00,500,0,500
572,"Cooking Essentials","Popular Essentials Guntur Chilli Stemless",40.00,2.00,2,39.00,100,0,100
573,"Cooking Essentials","Popular Essentials Moth Whole",90.00,10.00,6,81.00,500,0,500
574,"Cooking Essentials","Keya Pizza Seasoning",109.00,17.00,6,90.00,45,0,45
575,"Cooking Essentials","Keya Piri Piri | Exotic Spices Mix",109.00,20.00,6,87.00,80,0,80
576,"Cooking Essentials","24 Mantra Organic Moong Dal",135.00,7.00,6,125.00,500,0,500
577,"Cooking Essentials","Betty Crocker French Vanilla Cake Mix",310.00,10.00,6,276.00,520,0,520
578,"Cooking Essentials","Delight Nuts Dried Cranberries ",340.00,20.00,6,272.00,200,0,200
579,"Cooking Essentials","Everest Kesari Milk Masala",205.00,0.00,2,205.00,50,0,50
580,"Cooking Essentials","Tong Garden Salted Cocktail Nuts",295.00,9.00,5,266.00,160,0,160
581,"Cooking Essentials","MTR Uttapam Mix",165.00,5.00,6,156.00,500,0,500
582,"Cooking Essentials","Gits Khaman Dhokla Instant Snack Mix",65.00,6.00,6,61.00,180,0,180
583,"Cooking Essentials","Happilo Premium 100% Natural Whole Cashews",335.00,29.00,6,235.00,200,0,200
584,"Cooking Essentials","Everest Dry Mango Powder",80.00,0.00,5,80.00,100,0,100
585,"Cooking Essentials","Dabur Hommade - Ginger Garlic Past Tub",110.00,5.00,6,104.00,400,0,400
586,"Cooking Essentials","Everest Chicken Masala",147.00,10.00,6,132.00,200,0,200
587,"Cooking Essentials","Gits Medu Vada Instant Snack Mix",90.00,4.00,6,86.00,200,0,200
588,"Cooking Essentials","Weikfield Drinking Chocolate Powder",65.00,10.00,6,58.00,100,0,100
589,"Cooking Essentials","Popular Essentials Regular White Lobia",70.00,10.00,6,63.00,500,0,500
590,"Cooking Essentials","Puro Healthy Salt Crystal",135.00,7.00,6,125.00,1000,0,1
591,"Cooking Essentials","Popular Essentials Premium Jeera Rice",140.00,0.00,5,140.00,1000,0,1
592,"Cooking Essentials","Smith & Jones Shahi Paneer Masala Mix",44.00,0.00,6,44.00,60,0,60
593,"Cooking Essentials","Betty Crocker Mug Treats - Chocolate Mix - Pack of 4",200.00,11.00,6,178.00,264,0,264
594,"Cooking Essentials","Smith & Jones Pasta Masala",60.00,10.00,5,54.00,108,0,108
595,"Cooking Essentials","Catch Black Pepper Sprinkler",100.00,0.00,1,100.00,50,0,50
596,"Cooking Essentials","Weikfield Cooker Cake Mix - Chocolate",95.00,6.00,6,89.00,150,0,150
597,"Cooking Essentials","ITC Master Chef Butter Chicken",75.00,30.00,6,52.00,80,0,80
598,"Cooking Essentials","Masala Oats Masala & Coriander ",195.00,9.00,5,176.00,500,0,500
599,"Cooking Essentials","Smith & Jones Mutter Paneer Masala",42.00,0.00,6,42.00,60,0,60
600,"Cooking Essentials","Kitchens of India Dal Bukhara Gravy Mix",110.00,30.00,6,77.00,285,0,285
601,"Cooking Essentials","Popular Essentials Fried Gram (Bengal Gram)",70.00,10.00,6,63.00,500,0,500
602,"Cooking Essentials","Gits Jalebi with Maker Dessert Mix",75.00,16.00,6,63.00,100,0,100
603,"Cooking Essentials","Popular Essentials Soya Beans ",80.00,6.00,6,75.00,500,0,500
604,"Cooking Essentials","24 Mantra Organic Roasted Bengal Gram Dal",105.00,7.00,6,97.00,500,0,500
605,"Cooking Essentials","Keya Italian Seasoning",109.00,10.00,6,98.00,35,0,35
606,"Cooking Essentials","MTR Idli/Dosa/Chilly Chutney Powder",115.00,0.00,3,115.00,200,0,200
607,"Cooking Essentials","Delight Nuts Trail Mix ",399.00,25.00,6,299.00,200,0,200
608,"Cooking Essentials","Praakritik Organic Chilka Moong Dal",120.00,10.00,6,108.00,500,0,500
609,"Cooking Essentials","Smith & Jones Garlic & Herbs Masala Mix",99.00,0.00,6,99.00,75,0,75
610,"Cooking Essentials","Eastern Tamarind",63.00,0.00,6,63.00,200,0,200
611,"Cooking Essentials","Tong Garden Wasabi Coated Greenpeas Tin",200.00,11.00,6,178.00,180,0,180
612,"Cooking Essentials","Flying Bird Pineapple Artifical Food Essence",50.00,2.00,6,49.00,20,0,20
613,"Cooking Essentials","Mother's Recipe Tamarind Paste",50.00,2.00,2,49.00,200,0,200
614,"Cooking Essentials","Japanese Choice Udon Noodles",295.00,9.00,6,266.00,250,0,250
615,"Cooking Essentials","Pantai Coconut Milk",150.00,0.00,4,150.00,400,0,400
616,"Cooking Essentials","Praakritik Organic Masoor Dal",130.00,10.00,6,116.00,500,0,500
617,"Cooking Essentials","Popular Essentials Classic Sona Masuri Rice",430.00,10.00,6,387.00,5000,0,5
618,"Cooking Essentials","Popular Essentials Salted Murmure ",70.00,18.00,6,57.00,400,0,400
619,"Cooking Essentials","Oleev Active Oil (Pouch)",265.00,9.00,6,239.00,1000,0,1
620,"Cooking Essentials","Delight Nuts Dried Blueberries ",540.00,20.00,6,432.00,150,0,150
621,"Cooking Essentials","Popular Essentials Double Beans White",60.00,10.00,6,54.00,250,0,250
622,"Cooking Essentials","Delight Nuts Almond Natural ",349.00,20.00,6,279.00,200,0,200
623,"Cooking Essentials","Praakritik Organic Jaggery",160.00,6.00,6,150.00,900,0,900
624,"Cooking Essentials","Praakritik Organic Raw Sugar",90.00,6.00,6,84.00,500,0,500
625,"Cooking Essentials","MTR Masala - Sambar Powder",115.00,0.00,4,115.00,200,0,200
626,"Cooking Essentials","RRO Til Dil Premium Til Oil Bottle",173.00,6.00,6,162.00,500,0,500
627,"Cooking Essentials","ITC Master Chef Vegetable Biryani Cooking Paste",75.00,30.00,5,52.00,80,0,80
628,"Cooking Essentials","Jivana Jaggery",100.00,0.00,2,100.00,950,0,950
629,"Cooking Essentials","Praakritik Organic Besan",170.00,6.00,6,159.00,500,0,500
630,"Cooking Essentials","MTR Instant Gulab Jamun Mix",195.00,9.00,6,176.00,500,0,500
631,"Cooking Essentials","Maggi Magic Cubes Extra Chicken",199.00,0.00,2,199.00,240,0,240
632,"Cooking Essentials","On1y Mixed Herbs",99.00,0.00,6,99.00,14,0,14
633,"Cooking Essentials","Popular Essentials Urad Gola Black (Un-Polished)",80.00,10.00,6,72.00,500,0,500
634,"Cooking Essentials","Gits Dessert Mix China Grass Bombay Halwa",55.00,0.00,4,55.00,80,0,80
635,"Cooking Essentials","Praakritik Organic Basmati Rice",170.00,0.00,5,170.00,500,0,500
636,"Cooking Essentials","Ceres Foods Nalli Nihari Instant Liquid Masala",220.00,50.00,6,110.00,200,0,200
637,"Cooking Essentials","Borges Canola Oil Pet Bottle",399.00,0.00,6,399.00,1000,0,1
638,"Cooking Essentials","Suhana Biryani Masala",66.00,0.00,6,66.00,50,0,50
639,"Cooking Essentials","On1y Black Salt Grinder",99.00,0.00,6,99.00,100,0,100
640,"Cooking Essentials","Popular Essentials Nylon Til",40.00,2.00,6,39.00,100,0,100
641,"Cooking Essentials","Pillsbury Rich Choco Oven Cake Mix - Egg Free",170.00,6.00,6,159.00,270,0,270
642,"Cooking Essentials","Weikfield Tomato Salsa Instant Pasta",25.00,0.00,1,25.00,77,0,77
643,"Cooking Essentials","Praakritik Organic Jowar Atta",110.00,6.00,6,103.00,500,0,500
644,"Cooking Essentials","Sugarfree Gold Low Calorie Sweetner ",270.00,7.00,6,251.00,50,0,50
645,"Cooking Essentials","Epicurea Thai Jasmine Rice",295.00,0.00,4,295.00,500,0,500
646,"Cooking Essentials","Yummiez Chicken Garlic Fingers Pouch",250.00,0.00,5,250.00,400,0,400
647,"Cooking Essentials","RRO Primio Refined Groundnut (Jar)",490.00,11.00,6,436.00,2000,0,2
648,"Cooking Essentials","Praakritik Organic Tuvar Dal",140.00,0.00,6,140.00,500,0,500
649,"Cooking Essentials","Sugarfree Gold Low Calorie Sweetner",185.00,5.00,3,175.00,300,0,300
650,"Cooking Essentials","Cantina Beans Mexican Beans",250.00,14.00,6,213.00,410,0,410
651,"Cooking Essentials","Pillsbury Oven Cake Mix - Vanilla",175.00,10.00,6,156.00,225,0,225
652,"Cooking Essentials","Hershey's Chocolate Milk Booster",200.00,0.00,6,200.00,450,0,450
653,"Cooking Essentials","Popular Essentials Byadagi Chilli Stemless",80.00,0.00,6,80.00,100,0,100
654,"Cooking Essentials","Suhana Spice Mix - Chicken Biryani",66.00,0.00,6,66.00,50,0,50
655,"Cooking Essentials","Praakritik Organic Yellow Moon Dal",135.00,0.00,6,135.00,500,0,500
656,"Cooking Essentials","Maggi Magic Cubes Extra Chicken",199.00,10.00,6,179.00,240,0,240
